Section,Name,Address,City,Province,Postal Code,Latitude,Longitude,Type,Google Maps Link
LifeLabs (BC),Georgia PSC,777 HORNBY ST,VANCOUVER,BC,,49.283127,-123.121623,clinic,"https://maps.google.com/?q=49.283127,-123.121623"
LifeLabs (BC),Gibsons PSC,1100 SUNSHINE COAST HWY,GIBSONS,BC,,49.407798,-123.5311,clinic,"https://maps.google.com/?q=49.407798,-123.5311"
LifeLabs (BC),Gordon PSC,3001 GORDON AVE,COQUITLAM,BC,,49.271801,-122.79293,clinic,"https://maps.google.com/?q=49.271801,-122.79293"
LifeLabs (BC),Guildford PSC,15300 105TH AVE,SURREY,BC,,49.191303,-122.849143,clinic,"https://maps.google.com/?q=49.191303,-122.849143"
LifeLabs (BC),Harrison Way PSC,1966 HARRISON WAY,KAMLOOPS,BC,,50.649619,-120.373506,clinic,"https://maps.google.com/?q=50.649619,-120.373506"
LifeLabs (BC),Hastings PSC,324 GILMORE AVE,BURNABY,BC,,49.281721,-123.014026,clinic,"https://maps.google.com/?q=49.281721,-123.014026"
LifeLabs (BC),Hillside PSC,1641 HILLSIDE AVE,VICTORIA,BC,,48.445173,-123.333957,clinic,"https://maps.google.com/?q=48.445173,-123.333957"
LifeLabs (BC),Hollyburn PSC,575 16TH ST,WEST VANCOUVER,BC,,49.329171,-123.159312,clinic,"https://maps.google.com/?q=49.329171,-123.159312"
LifeLabs (BC),Hornby Island,1855 SOLLANS RD,HORNBY ISLAND,BC,,49.520751,-124.674251,clinic,"https://maps.google.com/?q=49.520751,-124.674251"
LifeLabs (BC),Ingram PSC,149 INGRAM ST,DUNCAN,BC,,48.779481,-123.70932,clinic,"https://maps.google.com/?q=48.779481,-123.70932"
LifeLabs (BC),Ironwood PSC,10880 NO 5 RD,RICHMOND,BC,,49.163168,-123.137414,clinic,"https://maps.google.com/?q=49.163168,-123.137414"
LifeLabs (BC),James Bay PSC,547 MICHIGAN ST,VICTORIA,BC,,48.416712,-123.371293,clinic,"https://maps.google.com/?q=48.416712,-123.371293"
LifeLabs (BC),Kensington PSC,6542 HASTINGS ST,BURNABY,BC,,49.279487,-122.968348,clinic,"https://maps.google.com/?q=49.279487,-122.968348"
LifeLabs (BC),Kerrisdale PSC,2061 WEST 42ND AVE,VANCOUVER,BC,,49.233902,-123.154413,clinic,"https://maps.google.com/?q=49.233902,-123.154413"
LifeLabs (BC),Kimberley PSC,260 4TH AVE,KIMBERLEY,BC,,49.689224,-115.986694,clinic,"https://maps.google.com/?q=49.689224,-115.986694"
LifeLabs (BC),King Edward PSC,972 KING EDWARD AVE W,VANCOUVER,BC,,49.248727,-123.125247,clinic,"https://maps.google.com/?q=49.248727,-123.125247"
LifeLabs (BC),Ladner PSC,4515 HARVEST DR,DELTA,BC,,49.085041,-123.06464,clinic,"https://maps.google.com/?q=49.085041,-123.06464"
LifeLabs (BC),Ladysmith PSC,370 DAVIS RD,LADYSMITH,BC,,48.978255,-123.804704,clinic,"https://maps.google.com/?q=48.978255,-123.804704"
LifeLabs (BC),Laurel PSC,888 WEST 8TH AVE,VANCOUVER,BC,,49.264007,-123.123417,clinic,"https://maps.google.com/?q=49.264007,-123.123417"
LifeLabs (BC),Little Mountain PSC,4527 MAIN ST,VANCOUVER,BC,,49.24424,-123.101593,clinic,"https://maps.google.com/?q=49.24424,-123.101593"
LifeLabs (BC),Lonsdale PSC,1916 LONSDALE AVE,NORTH VANCOUVER,BC,,49.326851,-123.071654,clinic,"https://maps.google.com/?q=49.326851,-123.071654"
LifeLabs (BC),Lougheed PSC (Located above the CIBC),3778 GRAND PROM,BURNABY,BC,,49.249574,-122.894643,clinic,"https://maps.google.com/?q=49.249574,-122.894643"
LifeLabs (BC),Lynn Valley PSC,1200 LYNN VALLEY RD,NORTH VANCOUVER,BC,,49.329062,-123.05345,clinic,"https://maps.google.com/?q=49.329062,-123.05345"
LifeLabs (BC),Main & Keefer PSC,180 KEEFER ST,VANCOUVER,BC,,49.279099,-123.101458,clinic,"https://maps.google.com/?q=49.279099,-123.101458"
LifeLabs (BC),Maple Ridge PSC,11743 224TH ST,MAPLE RIDGE,BC,,49.219735,-122.599707,clinic,"https://maps.google.com/?q=49.219735,-122.599707"
LifeLabs (BC),Marine Drive PSC,845 MARINE DR,NORTH VANCOUVER,BC,,49.320838,-123.096076,clinic,"https://maps.google.com/?q=49.320838,-123.096076"
LifeLabs (BC),Marpole PSC,8677 GRANVILLE ST,VANCOUVER,BC,,49.215405,-123.14031,clinic,"https://maps.google.com/?q=49.215405,-123.14031"
LifeLabs (BC),Metrotown PSC,4980 KINGSWAY,BURNABY,BC,,49.225427,-122.993961,clinic,"https://maps.google.com/?q=49.225427,-122.993961"
LifeLabs (BC),Mill Bay PSC,2720 MILL BAY RD,MILL BAY,BC,,48.65119,-123.559012,clinic,"https://maps.google.com/?q=48.65119,-123.559012"
LifeLabs (BC),Millstream PSC,2401 MILLSTREAM RD,VICTORIA,BC,,48.428318,-123.364953,clinic,"https://maps.google.com/?q=48.428318,-123.364953"
LifeLabs (BC),Mission PSC,7343 HURD ST,MISSION,BC,,49.133313,-122.329347,clinic,"https://maps.google.com/?q=49.133313,-122.329347"
LifeLabs (BC),Morgan Creek PSC,15252 32ND AVE,SURREY,BC,,49.191303,-122.849143,clinic,"https://maps.google.com/?q=49.191303,-122.849143"
LifeLabs (BC),Nelson PSC,806 VERNON ST,NELSON,BC,,49.491338,-117.298303,clinic,"https://maps.google.com/?q=49.491338,-117.298303"
LifeLabs (BC),Newton PSC,7404 KING GEORGE BLVD,SURREY,BC,,49.137628,-122.845263,clinic,"https://maps.google.com/?q=49.137628,-122.845263"
LifeLabs (BC),Nicola PSC,321 NICOLA ST,KAMLOOPS,BC,,50.672145,-120.334084,clinic,"https://maps.google.com/?q=50.672145,-120.334084"
LifeLabs (BC),No 3 Road PSC,5791 NO 3RD,RICHMOND,BC,,49.163168,-123.137414,clinic,"https://maps.google.com/?q=49.163168,-123.137414"
LifeLabs (BC),Norburn PSC,4012 HASTINGS ST,BURNABY,BC,,49.280861,-123.015825,clinic,"https://maps.google.com/?q=49.280861,-123.015825"
LifeLabs (BC),North Road PSC,435 NORTH RD,COQUITLAM,BC,,49.247815,-122.890887,clinic,"https://maps.google.com/?q=49.247815,-122.890887"
LifeLabs (BC),North Town PSC,4750 RUTHERFORD RD,NANAIMO,BC,,49.217837,-124.028858,clinic,"https://maps.google.com/?q=49.217837,-124.028858"
LifeLabs (BC),Parkgate PSC,3650 MT SEYMOUR PKY,NORTH VANCOUVER,BC,,49.316838,-122.971043,clinic,"https://maps.google.com/?q=49.316838,-122.971043"
LifeLabs (BC),Parksville PSC,489 ALBERNI HWY,PARKSVILLE,BC,,49.31026,-124.324658,clinic,"https://maps.google.com/?q=49.31026,-124.324658"
LifeLabs (BC),Peace Arch PSC,15331 16TH AVE,SURREY,BC,,49.191303,-122.849143,clinic,"https://maps.google.com/?q=49.191303,-122.849143"
LifeLabs (BC),Pitt Meadows PSC,12195 HARRIS RD,PITT MEADOWS,BC,,49.224287,-122.690237,clinic,"https://maps.google.com/?q=49.224287,-122.690237"
LifeLabs (BC),Poco PSC,1465 SALISBURY AVE,PORT COQUITLAM,BC,,49.272505,-122.75474,clinic,"https://maps.google.com/?q=49.272505,-122.75474"
LifeLabs (BC),Port Alberni PSC,3949 MAPLE WAY,PORT ALBERNI,BC,,49.264062,-124.791461,clinic,"https://maps.google.com/?q=49.264062,-124.791461"
LifeLabs (BC),Port Moody PSC,2624 ST JOHNS ST,PORT MOODY,BC,,49.276864,-122.852731,clinic,"https://maps.google.com/?q=49.276864,-122.852731"
LifeLabs (BC),Port Place PSC,650 SOUTH TERMINAL AVE,NANAIMO,BC,,49.163877,-123.938122,clinic,"https://maps.google.com/?q=49.163877,-123.938122"
LifeLabs (BC),Prince George PSC,1669 VICTORIA ST,PRINCE GEORGE,BC,,53.908624,-122.755373,clinic,"https://maps.google.com/?q=53.908624,-122.755373"
LifeLabs (BC),Qualicum PSC,670 MEMORIAL AVE,QUALICUM BEACH,BC,,49.347662,-124.441416,clinic,"https://maps.google.com/?q=49.347662,-124.441416"
LifeLabs (BC),Quesnel PSC,665 FRONT ST,QUESNEL,BC,,52.985861,-122.499827,clinic,"https://maps.google.com/?q=52.985861,-122.499827"
LifeLabs (BC),Regent PSC,2184 WEST BROADWAY,VANCOUVER,BC,,49.263635,-123.154876,clinic,"https://maps.google.com/?q=49.263635,-123.154876"
