id,name,address,city,province,postal,lat,lng
211,Eagleridge Patient Service Centre,#313-1194 Lansdowne Dr,Coquitlam,British Columbia,V3E 1J7,49.283915,-122.809355
232,Surrey Central Patient Service Centre,#101-10166 King George Blvd,Surrey,British Columbia,V3T 2W4,49.187218,-122.845106
214,Surrey City Centre (CC2),#103-9639 137A Street,Surrey,British Columbia,V3T 0M1,49.178,-122.8423
195,Satnam Place Patient Service Centre,#113-7130 120th St,Surrey,British Columbia,V3W 3M8,49.132721,-122.890251
171,Gordon Patient Service Centre,#208-3001 Gordon Ave,Coquitlam,British Columbia,V3C 2K7,49.272001,-122.792997
241,Sunwood Patient Service Centre,#122-6345 120th St,Delta,British Columbia,V4E 2A6,49.1186,-122.8912
240,Wilson Patient Service Centre,#7-2185 Wilson Ave,Port Coquitlam,British Columbia,V3C 6C1,49.261118,-122.777324
140,Yarrow Patient Service Centre,#416-645 Fort St,Victoria,British Columbia,V8W 1G2,48.42458,-123.366798
153,Yates Patient Service Centre,#200-1120 Yates Street,Victoria,British Columbia,V8V 3M9,48.425018,-123.352623
127,Westside Patient Service Centre,#230-174 Wilson St,Victoria,British Columbia,V9A 7N6,48.432961,-123.380882
137,James Bay Patient Service Centre,#210-547 Michigan St,Victoria,British Columbia,V8V 1S5,48.416969,-123.370987
162,Fort Patient Service Centre (Located at 103-1625 Oak Bay Ave),#103-1625 Oak Bay Ave,Victoria,British Columbia,V8R 1B1,48.426296,-123.335351
202,Esquimalt Patient Service Centre,#103-474 Head St,Victoria,British Columbia,V9A 5S2,48.426473,-123.399056
159,Hillside Patient Service Centre,#220-1641 Hillside Ave,Victoria,British Columbia,V8T 5G1,48.444778,-123.335258
124,Burnside Patient Service Centre,#6-101 Burnside Rd W,Victoria,British Columbia,V9A 1B7,48.45079,-123.387276
176,Cedar Hill Patient Service Centre,#200-1590 Cedar Hill Cross Road,Victoria,British Columbia,V8P 2P5,48.461175,-123.332682
181,Royal Oak Patient Service Centre,#102-4480 West Saanich Rd,Victoria,British Columbia,V8Z 3E9,48.493984,-123.388145
139,Colwood Patient Service Centre,#208-582 Goldstream Ave,Victoria,British Columbia,V9B 2W7,48.446236,-123.487968
200,Millstream Patient Service Centre,#125-2401G Millstream,Victoria,British Columbia,V9B 3R5,48.461742,-123.4981
152,Westshore Patient Service Centre,#131-2945 Jacklin Road,Victoria,British Columbia,V9B 5E3,48.439189,-123.5087
168,Sidney Patient Service Centre,#101-2475 Bevan Ave,Sidney,British Columbia,V8L 1W2,48.647507,-123.397537
486,Vernon Patient Service Centre,#215-2306 Hwy 6,Vernon,British Columbia,V1T 7E3,50.256338,-119.264418
136,St Paul Patient Service Centre,#135-546 St Paul St,Kamloops,British Columbia,V2C 5T1,50.674198,-120.32843
131,Nicola Patient Service Centre,#202-321 Nicola St,Kamloops,British Columbia,V2C 6G6,50.672153,-120.333847
201,Tranquille Patient Service Centre,#1-685 Tranquille Rd,Kamloops,British Columbia,V2B 3H7,50.697418,-120.361679
400,Harrison Way Patient Service Centre,1966 Harrison Way,Kamloops,British Columbia,V1S 1M9,50.649448,-120.372984
161,Prince George Patient Service Centre,#110-1669 Victoria St,Prince George,British Columbia,V2L 2L5,53.908821,-122.755318
142,Port Place Patient Service Centre,#106-650 S. Terminal Ave,Nanaimo,British Columbia,V9R 5E2,49.164127,-123.93544
121,Southgate Patient Service Centre,#107-50 Tenth St,Nanaimo,British Columbia,V9R 6L1,49.130981,-123.923439
179,Rock City Patient Service Centre,#460-2980 Island Hwy N,Nanaimo,British Columbia,V9T 5V4,49.2038,-123.997918
205,Gabriola Patient Service Centre,#101-691 Church St,Gabriola Island,British Columbia,V0R1X3,49.175801,-123.835306
123,North Town Patient Service Centre,#155-4750 Rutherford Rd,Nanaimo,British Columbia,V9T 4K6,49.216737,-124.027239
189,Brickyard Patient Service Centre,#203-6010 Brickyard Rd,Nanaimo,British Columbia,V9V 1S5,49.234493,-124.02626
135,Ladysmith Patient Service Centre,#28-370 Davis Rd,Ladysmith,British Columbia,V9G 1T9,48.977086,-123.80357
